002505.SZ,20180705,2.0,0.7274,1.627,4.06,461.4178,,1.9886,0.8863,0.9799,548537.22,548461.98,245200.89,1097074.44,1096923.96,002505
002505.SZ,20180704,2.11,0.1353,0.3027,0.72,486.7958,,2.098,0.9351,1.0338,548537.22,548461.98,245200.89,1157413.5342,1157254.7778,002505
002505.SZ,20180703,2.12,0.2076,0.4643,1.17,489.1029,,2.1079,0.9395,1.0387,548537.22,548461.98,245200.89,1162898.9064,1162739.3976,002505
002505.SZ,20180702,2.11,0.2666,0.5964,1.77,486.7958,,2.098,0.9351,1.0338,548537.22,548461.98,245200.89,1157413.5342,1157254.7778,002505
002505.SZ,20180629,2.14,0.1667,0.3729,1.05,493.717,,2.1278,0.9484,1.0485,548537.22,548461.98,245200.89,1173869.6508,1173708.6372,002505
002505.SZ,20180628,2.1,0.1201,0.2687,0.67,484.4887,,2.088,0.9306,1.0289,548537.22,548461.98,245200.89,1151928.162,1151770.158,002505
002505.SZ,20180627,2.13,0.1785,0.3993,0.89,491.41,,2.1179,0.9439,1.0436,548537.22,548461.98,245200.89,1168384.2786,1168224.0174,002505
002505.SZ,20180626,2.11,0.1541,0.3447,0.45,486.7958,,2.098,0.9351,1.0338,548537.22,548461.98,245200.89,1157413.5342,1157254.7778,002505
002505.SZ,20180625,2.12,0.1334,0.2983,0.33,489.1029,,2.1079,0.9395,1.0387,548537.22,548461.98,245200.89,1162898.9064,1162739.3976,002505
002505.SZ,20180622,2.12,0.2081,0.4654,0.53,489.1029,,2.1079,0.9395,1.0387,548537.22,548461.98,245200.89,1162898.9064,1162739.3976,002505
002505.SZ,20180621,2.15,0.2215,0.4955,0.53,496.0241,,2.1377,0.9528,1.0534,548537.22,548461.98,245200.89,1179355.023,1179193.257,002505
002505.SZ,20180620,2.21,0.2893,0.6471,0.75,509.8667,,2.1974,0.9794,1.0828,548537.22,548461.98,245200.89,1212267.2562,1212100.9758,002505
